slot_va	rva	target_va	is_pdata_start	target_owner
0x140f8e450	0x3a0044	0x1403a0044	no	0x140384a80..0x1403a85db
0x140f8e454	0x57005c	0x14057005c	no	NO-FUNCTION
0x140f8e458	0x6e0069	0x1406e0069	no	0x1406dacb0..0x140720697
0x140f8e45c	0x6f0064	0x1406f0064	no	0x1406dacb0..0x140720697
0x140f8e460	0x730077	0x140730077	no	0x1407206a0..0x14075b438
0x140f8e464	0x53005c	0x14053005c	no	NO-FUNCTION
0x140f8e468	0x730079	0x140730079	no	0x1407206a0..0x14075b438
0x140f8e46c	0x650074	0x140650074	no	0x140643ae0..0x1406656b1
0x140f8e470	0x33006d	0x14033006d	no	NO-FUNCTION
0x140f8e474	0x5c0032	0x1405c0032	no	0x1405a0700..0x1405c16cf
0x140f8e478	0x610048	0x140610048	no	0x1405e8220..0x1406196ee
0x140f8e47c	0x640072	0x140640072	no	0x140619940..0x140643adc
0x140f8e480	0x610077	0x140610077	no	0x1405e8220..0x1406196ee
0x140f8e484	0x650072	0x140650072	no	0x140643ae0..0x1406656b1
0x140f8e488	0x65002e	0x14065002e	no	0x140643ae0..0x1406656b1
0x140f8e48c	0x650078	0x140650078	no	0x140643ae0..0x1406656b1
0x140f8e4a0	0x3a0043	0x1403a0043	no	0x140384a80..0x1403a85db
0x140f8e4a4	0x57005c	0x14057005c	no	NO-FUNCTION
0x140f8e4a8	0x6e0069	0x1406e0069	no	0x1406dacb0..0x140720697
0x140f8e4ac	0x6f0064	0x1406f0064	no	0x1406dacb0..0x140720697
0x140f8e4b0	0x730077	0x140730077	no	0x1407206a0..0x14075b438
0x140f8e4b4	0x53005c	0x14053005c	no	NO-FUNCTION
0x140f8e4b8	0x730079	0x140730079	no	0x1407206a0..0x14075b438
0x140f8e4bc	0x650074	0x140650074	no	0x140643ae0..0x1406656b1
0x140f8e4c0	0x33006d	0x14033006d	no	NO-FUNCTION
0x140f8e4c4	0x5c0032	0x1405c0032	no	0x1405a0700..0x1405c16cf
0x140f8e4c8	0x610048	0x140610048	no	0x1405e8220..0x1406196ee
0x140f8e4cc	0x640072	0x140640072	no	0x140619940..0x140643adc
0x140f8e4d0	0x610077	0x140610077	no	0x1405e8220..0x1406196ee
0x140f8e4d4	0x650072	0x140650072	no	0x140643ae0..0x1406656b1
